estimated_rows,detected_rows,estimated_cells,detected_cells,estimated_missing_percent,low_confidence_count,needs_verification_percent,page_num
101,77,1818,1120,38.4,55,4.9,1
101,75,1818,1064,41.5,20,1.9,2
102,79,1836,1071,41.7,36,3.4,3
102,68,1836,1020,44.4,33,3.2,4
102,75,1836,1095,40.4,64,5.8,5
102,81,1836,1126,38.7,36,3.2,6
102,68,1836,975,46.9,15,1.5,7
101,56,1818,748,58.9,12,1.6,8
101,60,1717,945,45.0,39,4.1,9
101,14,1717,176,89.7,10,5.7,10
102,43,1836,631,65.6,12,1.9,11
101,33,1818,520,71.4,19,3.7,12
101,80,1717,834,51.4,17,2.0,13
120,106,2160,974,54.9,41,4.2,14
101,82,1717,783,54.4,20,2.6,15
101,78,1717,829,51.7,18,2.2,16
120,103,2040,869,57.4,45,5.2,17
101,80,1717,827,51.8,28,3.4,18
102,78,1734,844,51.3,28,3.3,19
102,85,1734,896,48.3,27,3.0,20
102,55,1632,598,63.4,13,2.2,21
102,85,1836,744,59.5,15,2.0,22
101,68,1818,916,49.6,43,4.7,23
101,70,1818,964,47.0,19,2.0,24
101,64,1818,893,50.9,29,3.2,25
101,40,1717,560,67.4,12,2.1,26
120,75,2160,618,71.4,28,4.5,27
101,76,1717,823,52.1,20,2.4,28
119,116,2142,875,59.2,55,6.3,29
101,65,1717,645,62.4,27,4.2,30
102,69,1836,1014,44.8,33,3.3,31
101,73,1818,1019,43.9,21,2.1,32
102,62,1836,926,49.6,26,2.8,33
101,73,1818,943,48.1,44,4.7,34
102,70,1836,992,46.0,36,3.6,35
120,93,1560,959,38.5,54,5.6,36
101,56,1717,868,49.4,34,3.9,37
101,10,1818,161,91.1,3,1.9,38
101,20,1818,308,83.1,11,3.6,39
101,33,1818,452,75.1,13,2.9,40
102,82,1734,846,51.2,24,2.8,41
120,102,2040,855,58.1,32,3.7,42
102,80,1632,769,52.9,22,2.9,43
111,111,1887,869,53.9,17,2.0,44
101,83,1717,869,49.4,28,3.2,45
101,84,1717,840,51.1,25,3.0,46
102,100,1632,826,49.4,19,2.3,47
101,74,1717,795,53.7,15,1.9,48
102,45,1632,274,83.2,6,2.2,49
101,86,1818,633,65.2,15,2.4,50
101,66,1818,888,51.2,23,2.6,51
101,69,1818,941,48.2,24,2.6,52
101,68,1818,882,51.5,35,4.0,53
119,98,2142,580,72.9,73,12.6,54
101,62,1717,858,50.0,18,2.1,55
101,11,1818,170,90.6,13,7.6,56
120,90,2640,406,84.6,56,13.8,57
101,31,1818,414,77.2,21,5.1,58
102,83,1632,749,54.1,44,5.9,59
139,139,2641,675,74.4,40,5.9,60
101,77,1616,707,56.2,26,3.7,61
101,87,1616,771,52.3,42,5.4,62
102,81,1734,744,57.1,28,3.8,63
106,106,1802,757,58.0,12,1.6,64
102,80,1428,784,45.1,19,2.4,65
102,19,1836,188,89.8,5,2.7,66
102,55,1326,459,65.4,9,2.0,67
101,85,1717,591,65.6,13,2.2,68
101,35,1616,299,81.5,16,5.4,69
102,68,1836,856,53.4,24,2.8,70
102,76,1530,695,54.6,20,2.9,71
101,34,1717,497,71.1,6,1.2,72
102,11,1836,121,93.4,3,2.5,73
107,107,1819,655,64.0,13,2.0,74
146,146,2336,788,66.3,43,5.5,75
102,98,1632,666,59.2,22,3.3,76
102,16,1836,213,88.4,7,3.3,77
120,49,2040,264,87.1,18,6.8,78
101,7,1818,29,98.4,1,3.4,79
120,101,1560,343,78.0,31,9.0,80
120,92,1680,866,48.5,28,3.2,81
101,58,1818,777,57.3,27,3.5,82
