Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page
,CNTY MASS,1755,,23,10,3000,430,22,30,41,52,88,123,,,,,132
,LAKEHURST N J,,95 56,19,,300,60,,,26,44,52,57,68,79,88,,132
,KANAWHA VA,,54 35,23,,20,2,,1,1,1,2,2,3,3,6,,132
,HILLSBOROUGH co FLA,,54,4,2,87,40,,2,2,13,13,13,62,62,88,,132
,FULTON co GEORGIA,,54,4,,6,2,,,,1,1,1,1,1,6,,132
,HAMILTON COUNTY OHIO,,54 55,31,,194,34,1,,15,,23,26,37,44,88,,132
,TONKA,1154,54,8,,34,4,,,,,1,1,1,1,1,,132
,DENVER COUNTY COLO,,55,10,2,20,6,1,2,2,3,3,3,4,,20,,132
,SALT LAKE co UTAH,1154,54,5,,59,19,1,1,2,,11,11,26,26,62,,132
,MULTNOMAH CNTY ORE,,54,12,,1,,,,,,1,1,1,1,1,,132
,GRAND TOTAL,,54 56,139,,3000,87,,1,1,,,21,31,56,104,,132
,PT WORONZOF ALASKA,,55 56,,,2,,,,,,,,,,,,132
