Column_0,Column_1,Column_2,Page
54 55 2 21 9 12,,,139
15 17,20 24 24 31 50,,139
54 55 40 9986 85 2 13 21 47 58,67 92 92 103,,139
54 i9 26 114 62 37 43 48 58 58 63,65S 70 75 89,,139
55 56 32 8 2 1 1 2,3 3 6,,139
1154 54 21 18 40 21 21 28 32 35 43,50 55 57,,139
1155 35,,,139
11 1 4 8,11 12 21 24,,139
56 4 18 7 1 1 5,5 7 7 18,,139
54 46 24 4 8 12 21,29 35 47 53,,139
54 34 4 52 21 5 10 13 14,15 28 39 45,,139
54 26 64 25 14 17 19 20,23 26 26 40,,139
12 38 18 2,,,139
1156 56 20 1 4 10 at,25 27 32 37,,139
2 12 2 5 7 9 10,11 13 23 26,,139
54 56 64 19 3 10 13 18,21 25 27 39,,139
56 30 44 9 2 3 6 7,9 10 12 18,,139
1184 54 20 16 66 41 20 26 33 36 43,47 50 54 58,,139
1755 55 19 42 17 1 6 7 15 19,20 23 29 32,,139
55 39 66 a9 6 15 23 29,33 37 47 54,,139
54 15s 43 68 50,,,139
56 72,77 82 89,,139
10 12 63 63 35 12 15 23 24 32,43 47 50 58,,139
10 6 32 19 6 9 i4 15 18,21 25 27 28,,139
54 6 98 43 15 21 27 35 44,49 54 54 60 79,,139
55 19 42 17 1 6 7,290 20 23 29 32,,139
54 74 98 37 7 16 21 26 32,40 49 55 72,,139
20 11 100,67,,139
38 11 15 24 33 35,37 47 54 67,,139
