Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Page
,178,,,,,,162
,,,,,,PER CUBIC,162
,,,36,,7 1,1 1 1 1 2 3,162
,,55,49,,8 1,1 1 1,162
,,54 56,73,,31 6,1 1 3 5 14 17,162
,PENNSYLVANIA TOTAL,54 56,271,,386 5,1 1 1 2 3 5 9,162
,TOTAL,54 56,43,,16 5,1 2 3 4 5 6 13,162
,KENTUCKY TOTAL,54 55,71,,5 1,2 2 3 4 5 5 10,162
,MARYLAND TOTAL,57,18,4,33 9 4,5 5 5 6 8 11 16,162
,WEST VIRGINA TOTAL,54 55,26,,120 32 1,1 6 17 29 43 69 88,162
,,54 55,34,,16 1,1 1 1 2 2 5,162
,GEORGIA TOTAL,54 56,25,,30 9 1,2 3 4 7 14 15 24,162
,,55 56,,,,,162
,,,32,,300 32 1,1 3 11 19 58 78,162
,TOTAL,54 56,147,,60 13 1,3 5 6 10 19 25 30,162
,INDIANA TOTAL,55 56,85,,120 16 2,4 7 10 15 20 23 36,162
,,53 54,36,,264 60,11 21 30 41 47 85 125,162
,,54 57,170,,929 28 3,5 10 14 19 25 33 53,162
,TOTAL,,,,,,162
,,57,19,,25 5 1,2 3 3 4 4 5 6 7,162
,TOTAL,54 56,61,,41 5,1 2 2 3 4 5 10,162
,LOUISIANA TOTAL,54 55,50,,10 1,1 1 1 1 2 3 4,162
,TEXAS TOTAL,54 55,149,,283 10,1 1 2 2 3 13 24,162
,,54 55,26,,20 4 1,1 2 3 4 4 5 8 9,162
,,55,31,,8 3 1,1 2 2 3 3 4 5 6,162
,ALASKA TOTAL,55,37,,374 23,1 1 12 15 18 24 34,162
2,CALIFORNIA TOTAL,54 56,216,,186 7,1 1 1 2 5 12 15,162
,,,74,,90 28,10 20 23 39 45 57,162
,,54 55,,,,,162
,,57,20,2,24 7 2,3 4 4 5 6 12 17,162
,,55 56,85,,8 1,1 1 1 1 2 5,162
,MID,54 56,474,,386 4,1 1 1 1 10,162
co,,,,,,,162
,TOTAL,54 57,158,,120 10 1,2 2 4 5 6 11 17,162
,,54 56,91,,300 14,1 1 2 3 10 19 30,162
,,57,457,,929 22 2,4 6 10 16 29 45,162
,,54 56,94,,41 5 1,1 2 3 3 6 10,162
,GULF,54 55,199,,283 8,1 1 1 2 4 19,162
,,54 55,57,,20 4 2,1 2 2 3 4 4 5 7,162
,,,,,374,20,162
,,54 57,347,,13,1 1 3 10 33,162
,,53 57,1962,,929 11,1 1 2 4 5 27,162
eto,,,,,,,162
oa oe,,,,,,,162
om,,,,,,,162
,Google,,,,,,162
