Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Page
WATERBURY CONN,,,,,,,,,,,,,,,,164
,,2,2,,5,3,3,3,4,1,4,3,2,,,164
MUM,,,,,,,,1,3,,1,3,2,,,164
AGE,,,,,,4,,,,,,,,,,164
BO STON MASS,55,,,,,,,,,,,,,,,164
AVERAGE,,2,,,1,,1,,,3,1,,,,,164
MUM,,2,,,,,,,,3,,,,,,164
EV,55,,,,,,,,,,,,,,,164
AVERAGE,,,2,1,1,6,2,1,,,2,4,5,,,164
EL,55 56,,,,,,,,,,,,,,,164
,,,,8,1,,,,,,,,,,,164
AVERAGE,,,,2,,,,,,,,,,,,164
MUM,,,,,,,,,,,,,,,,164
PA J,55 56,,,,,,,,,,,,,,,164
AVERAGE,,1,,4,1,,,,,,,,,,,164
CA MOEN,55 56,,,,,,,,,,,,,,,164
AVERAGE,,3,3,6,10,,2,,1,2,,,1,,,164
t MUM,,2,,,,,2,,1,,,,,,,164
PERTH AMBOY,55 56,,,,,,,,,,,,,,,164
,,,,4,,,,,,,,5,,,,164
AVERAGE,,,,1,2,,,,,,,1,,,,164
,55 56,,,,,,,,,,,,,,,164
AVERAGE,,,,,10,,,,,,3,2,2,,,164
JERSEY N J,55 56,,,,,,,,,,,,,,,164
AVERAGE,,,3,3,5,,,,,,,,,,,164
N Y,54 56,,,,,,,,,,,,,,,164
AVERAGE,,9,5,13,,3,,,,13,14,5,3,,,164
,,,,,2,,4,,2,,,,,,,164
A PA,54 56,,,,,,,,,,,,,,,164
AVERAGE,,27,2,1,2,2,3,,2,1,,,1,,,164
ALTOONA PA,56,,,,,,,,,,,,,,,164
AVERAGE,,,,,1,,,,3,,,1,,,,164
BR,55 56,,,,,,,,,,,,,,,164
AVERAGE,,,1,,,,,,,1,,4,,,,164
CH ESTER PA,55 56,,,,,,,,,,,,,,,164
,,,1,,2,2,2,2,3,4,1,,1,,,164
AVERAGE,,,2,,,,2,4,1,3,,,3,,,164
ER te PA,56,,,,,,,,,,,,,,,164
AVERAGE,,5,5,1,1,1,5,2,,4,4,4,3,,,164
PJ,56,,,,,,,,,,,,,,,164
,,3,3,3,,,3,2,,2,2,2,1,,,164
AVERAGE,,11,9,33,,,12,1,,15,20,30,10,,,164
