Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Page
,,,AVERAGE,,,36,32,24,8,25,23,29,26,17,8,61,,,183
,,,,,,,,,,,18,,25,,,,,,183
,,,WASHINGTON,54 55,,,,,,,,,,,,,,,183
,,,,,,4,1,3,3,4,3,4,4,2,,,,,183
,,,AVERAGE,,,22,8,4,,,7,,8,2,,,,,183
,,,CHICAGO ILL,54 55,,,,,,,,,,,,,,,183
,,,,,2,4,,,2,9,5,3,4,6,3,3,,,183
,,,,,45,51,,,5,19,36,76,47,86,,119,,,183
,,,AVERAGE,,37,41,,,2,,16,34,36,46,36,71,,,183
,,,,53 54,,,,,,,,,,,,,,,183
,,,,,,2,3,4,1,1,,,,,,,,,183
,,,AVERAGE,,,119,118,46,2,69,,,,,33,,,,183
,,,,,,109,91,10,2,69,,,,,10,,,,183
,,,CUNCENNATI OHIO,54 55,,,,,,,,,,,,,,,183
,,,,,1,,34,14,8,17,6,6,10,5,1,4,,,183
,,,,,26,37,56,33,14,16,2,7,14,12,25,55,,,183
,,,AVERAGE,,26,18,12,9,4,2,,2,6,3,2s,14,,,183
,,,,,26,1,,,,,,,,,25,,,,183
,,,,54,,,,,,,,,,,,,,,183
,,,,,,2,,,,8,,,,,,,,,183
,,,,,1,,2,1,3,,,,,,,,,,183
,,,AVERAGE,,67,18,67,21,9,15,,,,,,,,,183
,,,,54 55,,,,,,,,,,,,,,,183
,,,,,1,2,2,5,4,3,1,2,3,2,,2,,,183
,,,AVERAGE,,11,4,9,68,11,5,13,2,,2,,7,,,183
,,,,54,,,,,,,,,,,,,,,183
,,,,,,32,,55,25,69,125,,,,,,,,183
,,,AVERAGE,,,32,57,30,15,61,103,,,,,,,,183
,,,,54 55,,,,,,,,,,,,,,,183
,,,,,2,4,2,3,2,3,4,2,2,4,,,,,183
,,,,,,,,,,,,,46,,,,,,183
,,,AVERAGE,,10,15,,12,10,29,58,45,,54,,,,,183
,,,,54 55,,,,,,,,,,,,,,,183
,,,,,3,5,,2,2,2,3,2,3,4,,4,,,183
,,,AVERAGE,,5,19,,23,66,54,,45,41,37,41,11,,,183
,,,,54 55,,,,,,,,,,,,,,,183
,,,,,3,4,2,2,2,2,2,2,4,3,5,3,,,183
,,,,,9,19,32,40,49,70,28,47,40,48,26,10,,,183
,,,AVERAGE,,,14,28,36,42,35,27,39,25,27,16,4,,,183
,,,,,,7,25,32,35,1,26,32,,16,8,,,,183
,,,,54,,,,,,,,,,,,,,,183
,,,,,,2,6,3,3,,,,,20,20,,,,183
,,,,,,31,16,14,9,,,,,55,178,,,,183
,,,AVERAGE,,,21,,,,,,,,12,3,,,,183
,,,HAMILTON COUNTY OHIO,54 55,,,,,,,,,,,,,,,183
,,,AVERAGE,,,10,4,17,,6,3,5,3,3,3,4,,,183
,,,,,,10,1,17,,,,,2,2,2,,,,183
