Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Page
,NEW YORK,,,34,,43,6,,,1,1,2,,,,,,,,,,184
,PA,,54,,,49,11,,1,,1,4,5,,,20,,33,,,,184
,WASHINGTON,,54 55,29,,61,12,3,4,5,,10,11,13,,16,,20,,,,184
,KY,,54,5,,,,,,,,1,1,,,1,,1,,,,184
,CHARLESTON VA,,54,6,,36,13,1,1,,,,6,,,33,,33,,,,184
,TAMPA FLA,,54,7,,11,6,,1,3,5,7,7,,,10,,10,,,,184
,ATLANTA GA,,54,5,3,14,6,3,3,3,3,4,4,,,,,14,,,,184
,CHICAGO PEL,,54,3,5,8,6,,5,5,5,7,7,7,,7,,8,,,,184
,,,,35,,,,,,,1,,2,5,,,,10,,,,184
,,,54 55,,,13,3,,,1,,1,,,,,,,,,,184
,,,54,3,,,6,,1,1,1,8,8,8,,,,,,,,184
,,,54 55,41,,13,3,,,4,4,2,4,6,,,,10,,,,184
,DETROIT MICH,,53,20,1,,33,13,24,28,29,32,35,41,,43,,45,,,,184
,,,54,9,4,31,17,,11,13,13,16,16,18,,22,,27,,,,184
,,,53 54,29,1,37,28,11,13,18,27,29,30,33,,41,,44,,,,184
,CINCINNATI OHIO,,54,69,,30,2,,,,4,1,1,1,,,,,,,,184
,,1155,55,4,5,19,,,5,5,9,9,,,,,,20,,,,184
,,,54 55,73,,30,2,,,,1,1,1,,,,,11,,,,184
,,,54,13,,24,8,,1,1,2,11,12,12,,13,,14,,,,184
,,,54,13,,23,10,,1,6,,,12,16,,17,,18,,,,184
,,5154,54,17,,34,12,1,2,5,,,13,,,22,,,,,,184
,,,,,,,,,,,,11,,,,,,24,,,,184
,,,54,112,,34,5,,,1,,1,3,,,12,,16,,,,184
,,,55,4,5,19,11,,5,5,9,9,,11,,1i,,20,,,,184
,,,54,116,,34,5,,,1,1,1,5,,,,,16,,,,184
,KANSAS,,54,,,50,18,,,2,,21,22,24,,27,,48,,,,184
,NEW,,54,,,,,,,,,,,,,,,,,,,184
,,,,4,,,,,,,1,,1,1,,,,,,,,184
,TEXAS,,54,6,,22,5,,,1,1,1,5,5,,,,,,,,184
,,1154,54,2,2,5,3,,,2,2,2,2,2,,,,,,,,184
,HOUSTON TEXAS,,54,17,,59,24,2,,10,,29,30,32,,33,,,,,,184
,BELLAIRE TEXAS,,54,,10,45,29,,10,10,30,30,30,37,,37,,45,,,,184
,OENVER COL,,54,3,1,4,2,,1,1,1,3,3,3,,3,,,,,,184
,ciTy UTAH,2154,54,5,,22,4,,,1,1,1,1,1,,,,22,,,,184
,ANCHORAGE ALASKA,,54 55,25,,64,23,1,1,,20,23,25,33,,39,,50,,,,184
,Los,,54,17,,108,19,3,4,5,6,,17,20,,35,,37,,,,184
,PASADENA CALIF,,,28,,,12,,,,,,,,,20,,30,,,,184
,,,54 55,,,61,,,,1,,1,,18,,,,,,,,184
,BERKELEY CALIF,,54,33,,16,2,,,,1,1,1,,,,,5,,,,184
,SAN,,54 55,33,,16,2,,,1,1,,2,2,,3,,5,,,,184
,,,54,19,,20,2,,,,1,1,,1,,1,,9,,,,184
,,,54,15,,5,,,,,,1,1,1,,1,,4,,,,184
,,,,10,,,,,,,,,,,,,,,,,,184
,,,54,,1,9,6,1,3,5,6,6,6,7,,8,,8,,,,184
,,,54,10,,7,2,,1,1,2,2,3,3,,4,,4,,,,184
,,,54,54,,20,2,,,,1,1,,3,,5,,8,,,,184
