Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Page
AVERAGE,,,3,2,1,1,1,3,2,3,,,1,,213
BELLA,54 55,,,,,,,,,,,,,,213
,,3,2,4,2,3,3,2,3,3,4,2,3,,213
AVERAGE,,2,4,8,5,4,3,5,6,2,1,2,4,,213
DENVER COL,54,,,,,,,,,,,,,,213
AVERAGE,,2,5,5,,,,,,,,,,,213
MUM,,2,3,,2,3,,1,4,2,3,6,2,,213
SALT,54,,,,,,,,,,,,,,213
AVERAGE,,8,19,11,5,6,2,4,3,3,4,7,6,,213
,54 55,,,,,,,,,,,,,,213
,,1,3,3,8,4,7,1,3,3,3,4,3,,213
AVERAGE,,,6,5,15,6,5,,3,,1,3,1,,213
SAN,55 56,,,,,,,,,,,,,,213
AVERAGE,,11,1,3,5,3,2,,,,1,,10,,213
,,,,,,1,,,,,,,,,213
,54 56,,,,,,,,,,,,,,213
NUM AMPLES,,4,5,1,4,5,5,,2,4,6,,,,213
AVERAGE,,30,10,10,6,4,,2,,8,5,,,,213
,54 55,,,,,,,,,,,,,,213
,,8,10,,13,,6,5,2,1,2,30,27,,213
AVERAGE,,2,6,,6,,3,2,1,,,10,7,,213
MUM,,,,,,,,,1,,,,,,213
,54 56,,,,,,,,,,,,,,213
,,4,6,2,2,5,5,5,5,6,4,7,6,,213
AVERAGE,,3,,2,7,2,3,3,5,4,2,3,1,,213
,56,,,,,,,,,,,,,,213
AVERAGE,,3,2,3,3,4,6,12,3,4,,,,,213
,54 55,,,,,,,,,,,,,,213
,,,,60,20,16,,40,40,50,80,29,,,213
AVERAGE,,80,12,20,11,8,,35,23,30,,8,,,213
,57,,,,,,,,,,,,,,213
AVERAGE,,101,73,88,17,50,20,37,37,32,,,,,213
