Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Page
,,,,,,,,241,,225
,,,,,,,BELOW,,,225
,,,,,,,QUANTITY,,,225
WATERBURY CONN 55 56 36,36,,,,55 56,36,34,6,,225
55 23,23,,,,55,23,21,4,,225
EVERETT MASS 55 26,26,,,EVERETT MASS,55,26,22,5,,225
ELIZABETH,,,,ELIZABETH N J,55 56,20,20,,,225
N J 55 56 21,,,,,,,,,,225
PAULSBORO N J 55 56 25,25,,,PAULSBORO N J,55,23,23,,,225
CAMDEN 56,,,,J,55 56,19,19,,,225
PERTH AMBOY N 56 23,23,,,PERTH AMBOY,55 56,,21,,,225
TRENTON N J 55 56 17,17,,,TRENTON N J,95 56,16,16,,,225
ERSEY 55 56 23,,,,,56,21,20,20 20,,225
N J,23,,,,,,,,,225
NEW YORK N Y 54 56 75,70,3,,NEW YORK N Y,94 56,39,38,4,,225
PH PA 54 56 157,152,5,,PHILADELPHIA PA,56,147,119,8,,225
ALTOONA PA 56 13,13,,,ALTOONA PA,56,,13,,,225
BR PA 55 56 18,,,,BRISTOL PA,56,18,18,,,225
,,,,,55,18,18,,,225
CHESTER PA 56 18,,,,,,,,,,225
,,,,ERIE,,,,,,225
ER PA 56 25,25,,,PA,56,25,25,,,225
TTSBURGH PA 56 21,21,,,PITTSBURGH PA,56,21,21,,,225
LLEAMSPORT PA 23,23,,,PA,55 56,23,23,,,225
WA SHINGTON 54 56 46,45,1,,WASHINGTON,56,17,17,,,225
,,,,LOUISVILLE KY,54 55,62,62,,,225
LOUISVILL KY 54 55 71,68,5,,,,,,,,225
BA MD 57 18,18,,,BALTIMORE MD,57,18,18,,,225
CH ARLESTON VA 55 27,23,1,,CHARLESTON W VA,55,16,9,7,,225
TA MPA FLA 54 55 31,30,2,,TAMPA FLA,55,,20,,,225
54 56 25,,,,ATLANTA GA,55 56,16,16,,,225
AT LANTA GA,24,1,,,,,,,,225
2,,,,,,,,,,225
CHATTANOOGA TENN 55 56 32,32,,,TENN,55 56,32,32,,,225
CH 54 55 120,117,1,,CHiCAGO,55,77,70,5,,225
EA ST LOUIS 55 56 29,,,,EAST,55 56,29,28,6,,225
EA ST CHICAGO 56 86,86,,,EAST CHICAGO INO,55 56,86,78,10,,225
DE TROIT MICH 53 54 33,27,,,CINCINNATI OHIO,55,23,23,,,225
,,1,,,,,,,,225
,,,,,,12,,,,225
on OHIO 54 55 169,108,40,,,,,12,,,225
YOUNG GSTOWN 11,,,,MLLWAUKEE wis,57,19,19,,,225
LWAUKEE wis 57 16,16,,,,54 55,,21,,,225
KA NSAS 54 56 40,37,2,,ST,56,23,23,,,225
,,,,,54 55,46,,,,225
55 56 23,23,,,LA,,,46,,,225
NEW ORLEANS LA 54 55 50,50,,,FT WORTH TEXAS,54,24,23,3,,225
FT WORTH TEXAS 54 55 33,32,2,,HOUSTON TEXAS,54 55,64,,6,,225
LAKEWORTH TEXAS 54 5,5,,,BELLAIRE TEXAS,54,31,29,5,,225
OUSTON T XAS 54 55 79,77,3,,,54 55,253,21,6,,225
,,,,SALT LAKE ciTy UTAH,54 55,26,22,7,,225
BELLAIRE TEXA 54 55 35,33,2,,,,,,,,225
DENVER COLO 55 26,25,3,,ANCHORAGE ALASKA,54 55,13,13,,,225
SALT LAKE cITyY 54 55 31,31,,,SAN,55 56,32,32,,,225
ANCHORAGE ALASKA 54 55 38,37,1,,PASADENA CALIF,55 56,19,16,5,,225
LOS ANGELES CALIF 54,,1,,,55 56,25,25,,,225
SAN 55 56 32,32,,,,55 56,30,30,,,225
PASADENA CALIF 54 56 48,46,1,,OREGON,54 56,20,10,5,,225
5,,,,,,,,,,225
ERKELEY CALIF 54,33,1,,SEATTLE WASH,,20,20,,,225
NO,,,,,,,,,,225
SAN JOSE CALIF 54 56,59,,,,,,,,,225
,,,,GRAND,54,1381,1295,10,,225
CALIF 55 56 30,30,,,,,,,,,225
om 54 55 74,70,8,,,,,,,,225
SEATTLE WASHINGTON 57 20,20,,,,,,,,,225
TOTAL 54 2014,1901,40,,,,,,,,225
Google,,,,,,,,,,225
