Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Page
,,,,,AND,226
,,,BELOW,,BELOW,226
,,,QUANTITY,,,226
,,55,23 23,,MIDOLESEX 55 23 21,226
,J,55 56,19,,LAKEHURST N J 55 56 17 17,226
,KANAWHA COUNTY VA,54 55,23 23,,KANAWHA COUNTY W VA 55 17 11,226
,FLA,54,4 3,,54 55 11 11,226
,,54,6 6,,,226
,,,,,TOTAL 54 56 68 66,226
,COUNTY,54 55,35 24,40,,226
,HAMILTON OHIO,,,,,226
,COLO,54 55,10 10,,PT WORONZOF ALASKA 55 56 12 12,226
,SALT UTAH,54,5 5,,,226
,MULTNOMAH ORE,54,12 12,,,226
,GRAND TOTAL,54 56,146 134,40,,226
,PT WORONZOF ALASKA,55 56,12 12,,,226
co,,,,,,226
oe,,,,,,226
an,,,,,,226
atc,,,,,,226
Nw,,,,,,226
Nw,,,,,,226
co,,,,,,226
va,,,,,,226
,Go ogle,,,,,226
oa,,,,,,226
