Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Page
,CONNECTICUT T OTAL,57,163,,454,143,61,,,110,127,143,,,243,,9
,MAINE TOTAL,57,18,46 46,265,121,47,80,85,97,114,130,145,154,171,,9
,,57,372,20,472,117,52,70,83,94,106,121,138,159,195,,9
,MASSACHUSETS TOT AL,,,,,,,,,,,,,,,,9
,NEW HAMPSHRE TOT AL,57,17,4,152,70,44,47,52,58,65,68,73,97,,,9
,ISLA NO TOT AL,54 57,73,17,289,97,34,47,69,80,88,103,117,132,,,9
,ERMONT TO TAL,57,26,24,83,52,34,36,40,44,49,55,65,72,76,,9
,ELAWARE T OTA,57 57,28,,481,,94,10,119,138,162,186,236,264,,,9
,,,,,,,,,96,,,,163,5,40,,9
,Ew JERSE Y TO TAL,57,422,26,971,144,66,81,,111,126,141,,,,,9
,Ew YORK T OTA,57,378,38,642,,72,94,115,138,160,183,,243,305,,9
,ENNSYLVA N TOT AL,57,1570 570,25,O11,206,85,13,138,159,182,207,233,273,343,,9
,8 LA TOT AL,57,154,41,459,140,76,95,106,120,131,142,159,180,210,,9
,ENTUCKY T OTA,54 57,129,43,,166,94,09,i23,137,153,170,148,213,262,,9
,,,,,,,,,,,,,,268,,,9
,ARYLAND T OTA,56 57,54,77,729,200,100,17,130,145,167,188,222,268,327,,9
,N T OTA,57,,28,322,111,58,65,79,91,101,114,,142,171,,9
,0 T OTA,57,21,45,132,73,49,52,55,62,69,74,79,86,105,,9
,OTA,57,,50,232,106,65,76,89,96,105,112,119,130,,,9
,,,,,,,,,,,,,320,305,400,,9
,EST nan TOT AL,57,163,44,793,246,79,,125,153,186,244,,,,,9
,,,,,,,,,,,417,,,,,,9
,LABAMA T 0 TAL,57,25,50,285,129,65,81,89,100,117,145,161,171,201,,9
,LORIDA T 0 TAL,53 57,182,31,377,87,50,58,66,73,80,90,99,111,133,,9
,G EQRGIA T 0 TAL,57,,31,421,130,70,89,98,107,120,133,,168,208,,9
,T OTA,57,24,15,198,76,21,49,53,60,65,76,86,105,145,,9
,M,,,,,,,,,,,,,,,,9
,N A T OTA,57,33,46,285,109,59,76,83,90,97,103,129,142,171,,9
,ENNESSEE TOT AL,57,260,25,644,166,68,89,109,128,148,169,196,236,292,,9
,TOTAL,54 57,476,14,865,221,77,,141,170,199,234,268,313,388,,9
,NDIAWNA T OTAL,55 57,307,13,978,220,93,17,137,162,189,220,261,312,389,,9
,CHIGAN TOTAL,33 57,240,23,743,173,36,84,101,115,136,158,189,234,340,,9
,,,,,,,72,,108,123,139,,179,,270,,9
,H10 TOTA L,53,607,17,656,157,72,90,,,,157,,,,,9
,TOT AL,57,43,536 56,367,153,71,00,,123,137,154,176,196,253,,9
,,,,,,176,,,,,,,,,,,9
,OWA TOTA L,57,26,77,458,176,94,os,123,150,166,181,191,210,227,,9
,ANSAS TO TAL,55 57,83,30,470,146,58,,89,101,123,141,175,213,,,9
,,53 57,254,25,722,,61,77,90,100,110,,135,154,100,,9
,M INNESOTA TOT AL,,,,,,,,,,,,,,,,9
,M TOTAL,53 57,414,12,800 8001181,181,70,98,120,143,170,190,214,245,301,,9
,NEBRASKA TOTAL,57,,65,248,127,81,92,101,109,119,130,141,166,191,,9
,NORTH DAK OTA TOTAL,57,24,,220,109,35,69,74,94,105,117,132,141,171,,9
,,,26,,,87,53,,69,76,82,87,94,111,123,,9
,SOUTH DAK OTA TOTAL,57,,,169,,,58,,,,,,,,,9
,ARKANSAS TOTAL,57,26,34,170,83,42,47,60,63,76,86,97,123,134,,9
,LOUISIANA TOT AL,54 57,240,16,775,94,42,53,61,71,81,89,101,120,159,,9
,NEW MEXICO TOTAL,57,224114 22,114,375,201,123,45,161,171,183,195,213,257,327,,9
,OKLAHOMA TOTAL,,20,22,268,87,40,49,52,55,72,,97,123,145,,9
,,,575,,,,,76,90,104,115,130,150,175,233,,9
,TEXAS TO T AL,53,,10,2928,142,64,,,,,,,,,,9
,COLORADO TOTAL,54 537,143,15,593,,76,94,107 107,119,135,151,173,206,257,,9
,TO T AL,57,34,48,207,118,68,79,89,102,110,118,132,145,191,,9
,T OTAL,57,25,17,466,109,25,34,40,62,85,105,129,140,236,,9
,UTAH TOTA L,53 57,129,54,107,176,87,,115,130,146,1653,183,215,321,,9
,,,,,,,,,,,,,,333,,,9
,ALASKA TOTAL,53 37,127,9,3112,240,45,63,B89,123,158,198,264,,473,,9
,ARIZONA TOTAL,57,26,119,488,246,134,so,166,201,227,257,278,327,419,,9
,CALIFORNIA TOTAL,53 57,690,11,991,146,52,74,90,109,127,149,171,200,266,,9
,HAWAII TOTAL,56 57,62,20,87,39,26,28,31,32,34,37,39,47,65,,9
,NEVADA TOTAL,57,27,54,468,164,114,23,131,140,149,156,167,191,250,,9
,,,,,,,,,,,,135,160,187,266,,9
,OREGON TOTAL,53 57,278,26,632,141,56,71,87,99,114,,,,,,9
,WASHINGTON TOTAL,57,25,41,446,124,,60,B89,108,117,,140,154,201,,9
,NEW ENGLND TOT AL,54,669,,472,,,,,,,,,163,203,,10
,MID ATLNTC TOT,53,2398,,,191,,,,,,,,,,,10
,AL,,,25,1011,,78,101,125,,168,193,,258,320,,10
,MIO,53 57,623,28,793,170,72,92,106,121,137,155,180,221,317,,10
,TOT AL,53 57,758,15,644,129,57,72,85,97,110,127,148,173,226,,10
,MiD WEST TOTAL,53 57,1705,13,978,,74,97,117,137,159,186,2e1,268,344,,10
,GRT PLAINS TOT AL,53 57,879,,800,,65,,99,114,131,151,179,200,262,,10
,GULF TOT,,,,,,,,,,,118,,,,,10
,AL,53 57,883,10,2928,128,52,67,79,91,105,i118,1368,163,214,,10
,TOT AL,53 57,358,15,1070,148,59,81,97,,126,142,167,194,264,,10
,PAC COAST TOTAL,53,1235,9,3112,153,44,66,85,104,123,146,170,205,290,,10
,GRAND TOTAL,53 57,95068 95068,9,3112,163,62,82,99,117,136,158,186,224,295,,10
