Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Page
,,,,,,,,,,,,97,,81
,,,,,,,6,,,,,,,81
55 56 36,2,20 6,2,3,4,5,,6,7,,8,9,,81
55 57,,,,,,,,,,,,,,81
25,,38,,,,,,,,,10,13,,81
1455 55 26,1,15 6,2,2,4,5,5,6,,,10,11,,81
H 57 17,4,35 12,4,6,7,8,,10,11,,24,25,,81
56 21,2,48 7,2,3,3,4,5,6,7,,8,9,,81
55 56 25,3,69 11,3,4,4,5,5,6,8,,,17,,81
55 56 21,2,66 11,4,4,,,6,6,7,,,12,,81
PERTH 55 56 23,2,49 9,3,4,4,4,5,8,9,,,12,,81
55 56 17,5,46 14,5,6,7,,13,14,18,,21,22,,81
55 56 23,3,67 14,4,4,5,,10,11,13,,16,22,,81
NEW 57,11,43 21,11,11,12,12,19,19,25,,25,46,,81
54 18,10,74 30,17,21,22,24,26,28,32,,34,46,,81
2155 21,1,47 14,,,6,,12,15,17,,19,28,,81
2156 3,2,15 7,,,2,2,5,5,5,,,15,,81
546,,,,,,,,,,,,,,81
54 56 42,1,74 20,4,,10,15,18,21,25,,30,36,,81
54 55 18,1,14 5,1,1,,,4,5,7,,9,12,,81
54 19,10,74 29,15,19,22,24,26,27,30,,34,46,,81
55 38,1,47 10,1,2,4,5,7,,12,,15,19,,81
56 3,2,15 7,,2,2,2,5,5,5,,,15,,81
,11,43 21,,11,12,12,19,19,25,,25,46,,81
57,,,,,,,,,,,,,,81
54 65,1,74 16,1,4,6,,13,16,21,,26,35,,81
1157 57 6,7,35 20,7,7,7,,15,25,25,,32,32,,81
2157 57 13,4,35 19,4,7,,17,20,21,22,,33,35,,81
57 19,4,35 19,4,7,,17,20,21,25,,33,34,,81
PHILADELPHIA PA 54 65,3,70 22,,10,12,14,20,22,25,,31,39,,81
55 261,,83 19,,10,12,14,17,19,22,,26,31,,81
1156 56 15,4,44 18,5,6,,12,17,22,25,,27,41,,81
54 56 361,,83 19,,10,,14,17,20,22,,27,32,,81
4156 56 14,1,26 11,1,4,5,,10,10,12,,17,25,,81
57,10,19 14,,,10,10,10,10,10,,19,19,,81
56 57 16,1,26,2,4,7,,10,11,12,,19,22,,81
5156 56 14,1,43 17,1,3,,11,12,21,25,,28,36,,81
56 15,1,15,2,2,3,,12,14,17,,20,22,,81
7156 56 14,,43 16,1,2,4,7,11,12,19,,28,41,,81
co,,,,,,,,,,,,,,81
65,3,70 22,,10,12,14,20,22,25,,31,39,,81
55 281,,83 19,,10,ie,14,17,19,22,,26,31,,81
56 72,1,72 15,1,3,,10,,15,20,,25,36,,81
,,19 14,,,10,10,10,10,10,,19,19,,81
54 57 420,,83 19,6,,11,14,16,19,22,,26,32,,81
oe ALTOONA PA 13,4,16 7,4,4,5,5,,,7,,,13,,81
PA 55 56 18,4,12 7,5,6,6,7,7,8,8,,8,9,,81
CHESTER PA 55 56 18,2,20 10,3,6,7,7,,10,12,,13,17,,81
56 25,2,14 6,3,5,5,6,6,7,7,,,10,,81
1156 56,,,,,,,,,,,,,,81
21,3,29 7,3,4,4,5,5,6,7,,,12,,81
on 55 56 23,3,29 10,4,7,8,,10,11,12,,13,,,81
54 16,7,77 33,14,15,,22,31,39,41,,46,52,,81
55 56 20,1,93 17,4,6,7,8,9,,12,,19,46,,81
54 56 36,1,93 24,6,7,,10,15,21,31,,43,49,,81
LOUISVILLE,,,,,,,,,,,,,,81
KY 54 17 21,8,37 17 23,9,,13,16,18,18,19,,23,24,,81
55,9,47,12,14,16,17,21,24,28,,34,36,,81
54 55 38,8,47 20,,14,15,17,18,21,23,,25,35,,81
oe 54 13,4,27 12,4,7,7,,11,12,13,,14,25,,81
55 10,3,30 13,,,7,,10,12,16,,18,19,,81
54 55 23,3,30 12,4,7,7,,11,12,14,,18,25,,81
57 2,7,15 11,,,7,7,7,7,,,15,15,,81
31,,37 15,7,8,,11,,,,,,,,81
54,4,,,,,,14,16,18,,22,24,,81
55 31,3,47 20,,10,14,16,18,20,24,,32,35,,81
57 2,7,15 11,,,7,7,7,7,,,15,15,,81
54 57 64,3,47 17,7,,11,14,16,18,20,,24,33,,81
57 19,13,42 24,14,16,18,21,24,25,29,,32,36,,81
1157 57 25,5,37 14,7,,it,,14,15,18,,20,22,,81
E,,,,,,,,,,,,,,81
ca,,,,,,,,,,,,,,81
Google,,,,,,,,,,,,,,81
oa,,,,,,,,,,,,,,81
