Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Page
,,57,,,,,,,,,,,,,,,,,,98
,,,1,,2,,i,2,,3,2,2,2,,4,2,2,,,98
,AVERAGE,,131,,151,,85,175,,86,110,212,208,93,121,123,111,,,98
,,,131,,132,,85,159,,48,104,166,184,,,97,110,,,98
,DETROIT M,,,,,,,,,,,,,,,,,,,98
,,,,,2,,3,4,,2,1,,,,,,,,,98
,,,,,134,,29,148,,,462,,,,,222,,,,98
,AVERAGE,,,,129,,21,91,,,462,,,,,74,,,,98
,,,,,124,,12,8,,,462,,,,,,,,,98
,0,,,,,,,,,,,,,,,,,,,98
,OF,,3,,8,,52,20,,22,19,8,9,,8,3,6,,,98
,,,198,,137,,324,,,238,270,176,138,358,230,159,,,,98
,AVERAGE,,156,,60,,82,52,,33,83,52,49,92,,80,a4,,,98
,,,118,,18,,2,2,,3,2,5,1,2,6,6,14,,,98
,YOUNGSTOWN,57,,,,,,,,,,,,,,,,,,98
,,,2,,2,,2,3,,2,1,2,2,2,2,3,2,,,98
,,,175,,290,,138,215,,262,63,120,178,147,314,294,144,,,98
,AVERAGE,,132,,237,,107,150,,,63,116,141,139,257,219,126,,,98
,,,89,,165,,76,211,,234,63,113,104,132,201,104,108,,,98
,0,57,,,,,,,,,,,,,,,,,,98
,,,2,,3,,2,1,,3,2,2,2,2,2,3,2,,,98
,,,245,,395,,169,210,,165,147,259,302,208,202,315,196,,,98
,AVERAGE,,,,315,,,,,124,,237,,,,,,,,98
,,,191,,,,128,210,,,118,,251,139,141,217,146,,,98
,,57,,,,,,,,,,,,,,,,,,98
,,,2,,2,,2,3,,2,1,2,2,2,1,,,,,98
,,,104,,274,,141,215,,91,44,212,105,96,120,,,,,98
,AVERAGE,,63,,173,,112,161,,853,44,155,102,96,120,,,,,98
,,,22,,73,,84,113,,75,44,94,100,96,120,,,,,98
,,57,,,,,,,,,,,,,,,,,,98
,,,2,,2,,2,2,,3,,2,2,2,2,2,3,,,98
,AVERAGE,,189,,358,,134,100,,88,7,95,82,120,93,143,54,,,98
,,57,,,,,,,,,,,,,,,,,,98
,,,2,,3,,1,3,,1,3,2,2,1,2,3,2,,,98
,AVERAGE,,44,,,,66,41,,49,51,79,9T,68,1183,46,76,,,98
,,,,,35,,,,,,,,,,70,,,,,98
,,,29,,,,66,28,,49,40,54,69,68,,,65,,,98
,R AMPLES,,1,,3,,4,5,,4,3,,5,4,3,,1,,,98
,AVERAGE,,317,,48,,35,45,,11,29,,106,69,135,129,190,,,98
,,,317,,3,,3,5,,5,4,,65,a4,109,105,190,,,98
,KANSAS,,,,,,,,,,,,,,,,,,,98
,,,310,,234,,215,102,,59,134,125 2,4,1,,,,,,98
,,,,,,,,,,,,,217,,75,118,290,,,98
,AVERAGE,,234,,110,,68,38,,37,56,76,143,59,75,118,,,,98
,,,183,,4,,5,3,,6,2,26,,59,75,118,290,,,98
,,56,,,,,,,,,,,,,,,,,,98
,,,316,,439,,,267,,384,149,170,270,176,236,248,346,,,98
,AVERAGE,,276,,399,,,182,,238,1306,133,212,176,183,195,208,,,98
,,,237,,360,,,125,,107,112,96,101,176,71,148,231,,,98
,,57,,,,,,,,,,,,,,,,,,98
,AVERAGE,,34,,,,,71,,,,53,65,a4,44,142,38,,,98
,,,,,61,,56,,,34,45,41,50,a4,28,98,38,,,98
,,,30,,54,,56,,,32,18,30,41,a4,20,,38,,,98
,,54 57,,,,,,,,,,,,,,,,,,98
,,,119,,88,,86,72,,108,58,115,97,82,74,124,136,,,98
,AVERAGE,,106,,67,,49,64,,61,35,,60,,39,64,117,,,98
,,,84,,22,,12,49,,2,1,a4,25,29,9,42,94,,,98
,,57,,,,,,,,,,,,,,,,,,98
,,,126,,,,,50,,44,34,,103,,1032,41,41,,,98
,AVERAGE,,78,,,,47,50,,26,34,,69,a6,69,33,30,,,98
,,,39,,,,43,50,,8,34,,42,86,77,25,,,,98
,,,2,,4,,5,4,,,2,2,2,2,3,2,3,,,98
,AVERAGE,,118,,47,,61,ai,,65,66,70,,55,47,,74,,,98
,,,,,,,,,,,,,35,,,,,,,98
,,,86,,6,,9,,,2,56,61,25,37,35,,49,,,98
